 ,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,frequency,dimensionality,prs_found
149,log4cxx2,1,https://github.com/apache/log4cxx2,https://github.com/apache/log4cxx2,False,0.0,,False
150,log4net,1,https://github.com/apache/log4net,https://github.com/apache/logging-log4net,True,1.2692307692307692,71.59727869,True
151,log4php,1,https://github.com/apache/Log4php,https://github.com/apache/logging-log4php,True,0.2558139534883721,26.17052038,True
152,lucenenet,1,https://github.com/apache/Lucene.NET,https://github.com/apache/Lucene.NET,True,3.3666666666666667,45.16231154,True
153,lucy,1,https://github.com/apache/Lucy,https://github.com/apache/Lucy,True,1.0,34.59429403,True
154,madlib,1,https://github.com/apache/MADlib,https://github.com/apache/MADlib,True,8.04225352112676,138.9496135,True
155,manifoldcf,1,https://github.com/apache/ManifoldCF,https://github.com/apache/ManifoldCF,True,0.4520547945205479,54.80074316,True
156,marmotta,1,https://github.com/apache/Marmotta,https://github.com/apache/Marmotta,True,0.5277777777777778,41.94318883,True
157,merlin-developer,1,https://github.com/apache/MerlinDeveloper,https://github.com/apache/MerlinDeveloper,False,0.0,,False
158,mesos,1,https://github.com/apache/Mesos,https://github.com/apache/Mesos,True,4.216494845360825,42.64261927,True
159,metamodel,1,https://github.com/apache/MetaModel,https://github.com/apache/MetaModel,True,3.1392405063291138,26.45299059,True
160,metron,1,https://github.com/apache/Metron,https://github.com/apache/Metron,True,28.763636363636362,56.77958453,True
161,mnemonic,1,https://github.com/apache/Mnemonic,https://github.com/apache/Mnemonic,True,3.5454545454545454,27.21051062,True
162,mod_ftp,1,https://github.com/apache/mod_ftp,https://github.com/OutOfOrder/mod_ftpd,True,0.0,56.80942349,False
163,mrunit,1,https://github.com/apache/MRUnit,https://github.com/apache/MRUnit,True,1.0,30.78243007,True
164,muse,1,https://github.com/apache/Muse,https://github.com/apache/Muse,False,0.0,,False
165,myfaces,1,https://github.com/apache/MyFaces,https://github.com/apache/MyFaces,True,5.439024390243903,44.27107371,True
166,mynewt,1,https://github.com/apache/Mynewt,https://github.com/apache/mynewt-core,True,37.11764705882353,52.52491023,True
167,netbeans,1,https://github.com/apache/NetBeans,https://github.com/apache/NetBeans,True,67.57142857142857,60.77319913,True
168,nifi,1,https://github.com/apache/NiFi,https://github.com/apache/NiFi,True,67.07317073170732,40.14257355,True
169,nutch,1,https://github.com/apache/Nutch,https://github.com/apache/Nutch,True,6.361111111111111,36.98651611,True
170,streams,1,https://github.com/apache/Streams,https://github.com/apache/Streams,True,6.589743589743589,37.21476762,True
171,nuvem,1,https://github.com/apache/Nuvem,https://github.com/apache/Nuvem,True,0.0,28.92713042,False
172,ode,1,https://github.com/apache/Ode,https://github.com/apache/Ode,True,0.11594202898550725,33.73067038,True
173,ofbiz,1,https://github.com/apache/OFBiz,https://github.com/apache/OFBiz,True,0.2872340425531915,44.40791227,True
174,ognl,1,https://github.com/apache/OGNL,https://github.com/apache/commons-ognl,True,1.2682926829268293,22.2600029,True
175,olingo,1,https://github.com/apache/Olingo,https://github.com/apache/olingo-odata4,True,0.7228915662650602,43.44770959,True
176,onami,1,https://github.com/apache/Onami,https://github.com/apache/Onami,True,0.0,16.52924636,False
177,oodt,1,https://github.com/apache/OODT,https://github.com/apache/OODT,True,1.3076923076923077,35.90345904,True
178,oozie,1,https://github.com/apache/Oozie,https://github.com/apache/Oozie,True,0.5596330275229358,24.46573262,True
179,climate,1,https://github.com/apache/climate,https://github.com/apache/climate,True,6.82051282051282,34.89956281,True
180,openejb,1,https://github.com/apache/OpenEJB,https://github.com/apache/OpenEJB,True,0.0,39.52414247,False
181,openjpa,1,https://github.com/apache/OpenJPA,https://github.com/apache/OpenJPA,True,0.8604651162790697,36.32093799,True
182,openmeetings,1,https://github.com/apache/Openmeetings,https://github.com/apache/Openmeetings,True,1.8225806451612903,48.8203034,True
183,opennlp,1,https://github.com/apache/OpenNLP,https://github.com/apache/OpenNLP,True,4.362637362637362,61.94925602,True
184,openoffice,1,https://github.com/apache/OpenOffice.org,https://github.com/apache/openoffice,True,2.2666666666666666,2770.839491,True
185,openwebbeans,1,https://github.com/apache/OpenWebBeans,https://github.com/apache/OpenWebBeans,True,0.4418604651162791,29.06692755,True
186,openwhisk,1,https://github.com/apache/OpenWhisk,https://github.com/apache/OpenWhisk,True,47.51470588235294,28.140347,True
187,parquet,1,https://github.com/apache/Parquet,https://github.com/apache/parquet-mr,True,10.517241379310345,34.00414294,True
188,pdfbox,1,https://github.com/apache/PDFBox,https://github.com/apache/PDFBox,True,1.205607476635514,37.29643053,True
189,phoenix,1,https://github.com/apache/Phoenix,https://github.com/apache/Phoenix,True,15.114942528735632,46.34480419,True
190,pig,1,https://github.com/apache/Pig,https://github.com/apache/Pig,True,0.3130434782608696,76.978727,True
191,pivot,1,https://github.com/apache/Pivot,https://github.com/apache/Pivot,True,0.0,34.74772365,False
192,plc4x,1,https://github.com/apache/PLC4X,https://github.com/apache/PLC4X,True,6.1521739130434785,46.56488848,True
193,pluto,1,https://github.com/apache/Pluto,https://github.com/apache/Pluto,True,1.0,40.44518195,True
